County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Los Angeles,2020-04-01T00:00:00,3502,66,739,1332,335,220
San Bernardino,2020-04-01T00:00:00,245,5,95,196,39,52
Orange,2020-04-01T00:00:00,579,11,117,221,50,48
Riverside,2020-04-01T00:00:00,306,11,85,182,29,47
Sacramento,2020-04-01T00:00:00,299,8,53,138,20,33
San Diego,2020-04-01T00:00:00,851,11,168,340,71,32
Ventura,2020-04-01T00:00:00,154,5,22,96,5,23
Santa Clara,2020-04-01T00:00:00,805,33,160,85,77,15
Alameda,2020-04-01T00:00:00,287,8,52,76,27,15
Fresno,2020-04-01T00:00:00,75,0,19,101,5,13
Contra Costa,2020-04-01T00:00:00,267,3,31,42,12,12
San Joaquin,2020-04-01T00:00:00,132,8,25,35,16,11
San Mateo,2020-04-01T00:00:00,354,13,57,35,19,9
Kern,2020-04-01T00:00:00,53,0,15,45,7,9
San Francisco,2020-04-01T00:00:00,432,6,67,66,30,8
Santa Barbara,2020-04-01T00:00:00,103,0,23,23,15,6
Stanislaus,2020-04-01T00:00:00,29,0,25,39,10,6
San Luis Obispo,2020-04-01T00:00:00,69,0,8,10,5,6
Monterey,2020-04-01T00:00:00,47,2,13,16,4,4
Imperial,2020-04-01T00:00:00,25,0,4,15,3,4
Tulare,2020-04-01T00:00:00,43,1,4,12,3,4
Butte,2020-04-01T00:00:00,6,0,5,33,2,4
Yuba,2020-04-01T00:00:00,5,0,2,24,2,4
Nevada,2020-04-01T00:00:00,15,0,36,54,0,4
El Dorado,2020-04-01T00:00:00,14,0,14,8,1,3
Merced,2020-04-01T00:00:00,7,0,3,15,0,3
Humboldt,2020-04-01T00:00:00,19,0,1,9,0,3
Placer,2020-04-01T00:00:00,52,2,25,28,6,2
Solano,2020-04-01T00:00:00,57,0,14,18,5,2
Marin,2020-04-01T00:00:00,87,1,9,19,4,2
Santa Cruz,2020-04-01T00:00:00,44,1,2,12,2,2
Sonoma,2020-04-01T00:00:00,60,1,5,18,1,2
